input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 24, 112, 112)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,344763,6075,"(1, 1)","(1, 1)",0,10838016,8128512,0,"(1, 1)","(1, 1)",1366875,16152,892440,0.01762080037591041,0,0.75,0,0.011816735253772291,0.7477528202859498,0.015483856201171875,3.4453125,3.404388427734375
"(-1, 24, 56, 56)","(-1, 24, 28, 28)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,181656,12312,"(1, 1)","(1, 1)",0,677376,508032,0,"(1, 1)","(1, 1)",701784,32448,53784,0.06777645659928656,0,0.75,0,0.04623644882185972,0.7408264462809917,0.031585693359375,0.21533203125,0.205169677734375
"(-1, 24, 28, 28)","(-1, 58, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,45472,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 24, 56, 56)","(-1, 58, 56, 56)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,181888,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 58, 56, 56)","(-1, 58, 28, 28)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,439002,29754,"(1, 1)","(1, 1)",0,1636992,1227744,0,"(1, 1)","(1, 1)",1695978,78416,129978,0.06777645659928656,0,0.75,0,0.04623644882185972,0.7408264462809917,0.07633209228515625,0.5203857421875,0.49582672119140625
"(-1, 58, 28, 28)","(-1, 58, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,45472,0,"(0, 0)","(0, 0)",0,45472,0,0,"(0, 0)","(0, 0)",45472,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 58, 28, 28)","(-1, 58, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,45472,0,"(0, 0)","(0, 0)",0,45472,0,0,"(0, 0)","(0, 0)",45472,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 58, 28, 28)","(-1, 58, 28, 28)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,409248,19256,"(0, 0)","(1, 1)",0,409248,19256,0,"(1, 1)","(0, 0)",409248,19256,0,0.04705215419501134,0,0.04705215419501134,0,0.04705215419501134,0.0,0.025665283203125,0.025665283203125,0.0
"(-1, 58, 28, 28)","(-1, 58, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,45472,0,"(0, 0)","(0, 0)",0,45472,0,0,"(0, 0)","(0, 0)",45472,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 58, 28, 28)","(-1, 58, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,45472,0,"(0, 0)","(0, 0)",0,45472,0,0,"(0, 0)","(0, 0)",45472,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
